Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
1/1/2007,00:35:00,2.642,0.252,241.470,11.000,0.000,1.000,0.0
1/1/2007,00:36:00,2.630,0.248,240.960,10.800,0.000,1.000,0.0
1/1/2007,00:37:00,2.606,0.214,240.940,10.800,0.000,2.000,0.0
1/1/2007,00:38:00,2.556,0.132,240.310,10.600,0.000,1.000,0.0
1/1/2007,00:39:00,2.602,0.216,240.460,10.800,0.000,1.000,0.0
1/1/2007,00:40:00,2.602,0.216,240.500,10.800,0.000,1.000,0.0
1/1/2007,00:41:00,2.594,0.214,240.080,10.800,0.000,2.000,0.0
1/1/2007,00:42:00,2.600,0.216,240.500,10.800,0.000,1.000,0.0
1/1/2007,00:43:00,2.602,0.216,240.650,10.800,0.000,1.000,0.0
1/1/2007,00:44:00,2.600,0.216,240.680,10.800,0.000,1.000,0.0
1/1/2007,00:45:00,2.598,0.216,240.690,10.800,0.000,1.000,0.0
1/1/2007,00:46:00,2.590,0.214,240.300,10.800,0.000,2.000,0.0
1/1/2007,00:47:00,2.554,0.148,240.850,10.600,0.000,1.000,0.0
1/1/2007,00:48:00,2.484,0.000,240.980,10.200,0.000,0.000,0.0
1/1/2007,00:49:00,2.472,0.000,241.400,10.200,0.000,0.000,0.0
1/1/2007,00:50:00,2.486,0.000,242.110,10.200,0.000,0.000,0.0
1/1/2007,00:51:00,2.486,0.000,242.120,10.200,0.000,0.000,0.0
1/1/2007,00:52:00,2.482,0.000,241.960,10.200,0.000,0.000,0.0
1/1/2007,00:53:00,2.484,0.000,241.980,10.200,0.000,0.000,0.0
1/1/2007,00:54:00,2.480,0.000,241.840,10.200,0.000,0.000,0.0
1/1/2007,00:55:00,2.458,0.000,240.630,10.200,0.000,0.000,0.0
1/1/2007,00:56:00,2.460,0.000,240.810,10.200,0.000,0.000,0.0
1/1/2007,00:57:00,2.462,0.000,240.820,10.200,0.000,0.000,0.0
1/1/2007,00:58:00,2.472,0.000,241.390,10.200,0.000,0.000,0.0
1/1/2007,00:59:00,2.466,0.000,241.090,10.200,0.000,0.000,0.0
1/1/2007,01:00:00,2.466,0.000,241.090,10.200,0.000,0.000,0.0
1/1/2007,01:01:00,2.590,0.118,241.790,10.600,0.000,0.000,0.0
1/1/2007,01:02:00,2.590,0.132,242.040,10.600,0.000,0.000,0.0
1/1/2007,01:03:00,2.576,0.128,241.430,10.600,0.000,0.000,0.0
1/1/2007,01:04:00,2.566,0.128,241.050,10.600,0.000,0.000,0.0
1/1/2007,01:05:00,2.564,0.126,240.980,10.600,0.000,0.000,0.0
1/1/2007,01:06:00,2.560,0.126,240.910,10.600,0.000,0.000,0.0
1/1/2007,01:07:00,2.552,0.124,240.580,10.600,0.000,0.000,0.0
1/1/2007,01:08:00,2.564,0.128,241.190,10.600,0.000,0.000,0.0
1/1/2007,01:09:00,2.558,0.126,240.990,10.600,0.000,0.000,0.0
1/1/2007,01:10:00,2.560,0.126,241.120,10.600,0.000,0.000,0.0
1/1/2007,01:11:00,2.576,0.132,241.950,10.600,0.000,0.000,0.0
1/1/2007,01:12:00,2.570,0.130,241.730,10.600,0.000,0.000,0.0
1/1/2007,01:13:00,2.560,0.128,241.240,10.600,0.000,0.000,0.0
1/1/2007,01:14:00,2.566,0.128,241.490,10.600,0.000,0.000,0.0
1/1/2007,01:15:00,2.502,0.000,242.000,10.200,0.000,0.000,0.0
1/1/2007,01:16:00,2.482,0.000,241.940,10.200,0.000,0.000,0.0
1/1/2007,01:17:00,2.478,0.000,241.790,10.200,0.000,0.000,0.0
1/1/2007,01:18:00,2.482,0.000,242.000,10.200,0.000,0.000,0.0
1/1/2007,01:19:00,2.580,0.102,242.370,10.600,0.000,0.000,0.0
1/1/2007,01:20:00,2.564,0.102,242.300,10.600,0.000,0.000,0.0
1/1/2007,01:21:00,2.580,0.106,243.150,10.600,0.000,0.000,0.0
1/1/2007,01:22:00,2.572,0.104,242.800,10.600,0.000,0.000,0.0
1/1/2007,01:23:00,2.566,0.102,242.530,10.600,0.000,0.000,0.0
1/1/2007,01:24:00,2.570,0.104,242.800,10.600,0.000,0.000,0.0
1/1/2007,01:25:00,2.570,0.104,242.820,10.600,0.000,0.000,0.0
1/1/2007,01:26:00,2.566,0.104,242.730,10.600,0.000,0.000,0.0
1/1/2007,01:27:00,2.504,0.000,241.470,10.200,0.000,0.000,0.0
1/1/2007,01:28:00,2.474,0.000,241.520,10.200,0.000,0.000,0.0
1/1/2007,01:29:00,2.456,0.000,240.560,10.200,0.000,0.000,0.0
1/1/2007,01:30:00,2.448,0.000,240.110,10.200,0.000,0.000,0.0
1/1/2007,01:31:00,2.446,0.000,240.030,10.200,0.000,0.000,0.0
1/1/2007,01:32:00,2.452,0.000,240.300,10.200,0.000,0.000,0.0
1/1/2007,01:33:00,2.452,0.000,240.370,10.200,0.000,0.000,0.0
1/1/2007,01:34:00,2.452,0.000,240.340,10.200,0.000,0.000,0.0
1/1/2007,01:35:00,2.444,0.000,239.950,10.200,0.000,0.000,0.0
1/1/2007,01:36:00,2.444,0.000,239.910,10.200,0.000,0.000,0.0
1/1/2007,01:37:00,2.462,0.000,240.890,10.200,0.000,0.000,0.0
1/1/2007,01:38:00,2.510,0.052,240.010,10.400,0.000,0.000,0.0
1/1/2007,01:39:00,2.546,0.120,239.630,10.600,0.000,0.000,0.0
1/1/2007,01:40:00,2.548,0.122,240.000,10.600,0.000,0.000,0.0
1/1/2007,01:41:00,2.548,0.122,240.040,10.600,0.000,0.000,0.0
1/1/2007,01:42:00,2.552,0.122,240.360,10.600,0.000,0.000,0.0
1/1/2007,01:43:00,2.544,0.120,239.960,10.600,0.000,0.000,0.0
1/1/2007,01:44:00,2.538,0.120,239.830,10.600,0.000,0.000,0.0
1/1/2007,01:45:00,2.548,0.122,240.420,10.600,0.000,0.000,0.0
1/1/2007,01:46:00,2.554,0.124,240.710,10.600,0.000,0.000,0.0
1/1/2007,01:47:00,2.552,0.124,240.740,10.600,0.000,0.000,0.0
1/1/2007,01:48:00,2.550,0.124,240.660,10.600,0.000,0.000,0.0
1/1/2007,01:49:00,2.548,0.124,240.600,10.600,0.000,0.000,0.0
1/1/2007,01:50:00,2.552,0.124,240.800,10.600,0.000,0.000,0.0
1/1/2007,01:51:00,2.548,0.122,240.560,10.600,0.000,0.000,0.0
1/1/2007,01:52:00,2.502,0.048,240.890,10.400,0.000,0.000,0.0
1/1/2007,01:53:00,2.466,0.000,241.030,10.200,0.000,0.000,0.0
1/1/2007,01:54:00,2.480,0.000,241.770,10.200,0.000,0.000,0.0
1/1/2007,01:55:00,2.474,0.000,241.460,10.200,0.000,0.000,0.0
1/1/2007,01:56:00,2.470,0.000,241.280,10.200,0.000,0.000,0.0
1/1/2007,01:57:00,2.464,0.000,240.930,10.200,0.000,0.000,0.0
1/1/2007,01:58:00,2.450,0.000,240.240,10.200,0.000,0.000,0.0
1/1/2007,01:59:00,2.496,0.000,239.610,10.400,0.000,0.000,0.0
1/1/2007,02:00:00,2.504,0.088,239.260,10.400,0.000,0.000,0.0
1/1/2007,02:01:00,2.540,0.096,241.070,10.400,0.000,0.000,0.0
1/1/2007,02:02:00,2.568,0.102,242.480,10.600,0.000,0.000,0.0
1/1/2007,02:03:00,2.566,0.102,242.420,10.600,0.000,0.000,0.0
1/1/2007,02:04:00,2.574,0.106,242.950,10.600,0.000,0.000,0.0
1/1/2007,02:05:00,2.582,0.108,243.380,10.600,0.000,0.000,0.0
1/1/2007,02:06:00,2.576,0.106,243.170,10.600,0.000,0.000,0.0
1/1/2007,02:07:00,2.556,0.082,242.890,10.400,0.000,0.000,0.0
1/1/2007,02:08:00,2.502,0.000,242.940,10.200,0.000,0.000,0.0
1/1/2007,02:09:00,2.514,0.000,243.570,10.200,0.000,0.000,0.0
1/1/2007,02:10:00,2.508,0.000,243.280,10.200,0.000,0.000,0.0
1/1/2007,02:11:00,2.520,0.000,243.910,10.200,0.000,0.000,0.0
1/1/2007,02:12:00,2.518,0.000,243.760,10.200,0.000,0.000,0.0
1/1/2007,02:13:00,2.518,0.000,243.810,10.200,0.000,0.000,0.0
1/1/2007,02:14:00,2.514,0.000,243.570,10.200,0.000,0.000,0.0
1/1/2007,02:15:00,2.540,0.000,243.320,10.400,0.000,0.000,0.0
1/1/2007,02:16:00,2.608,0.134,242.760,10.600,0.000,0.000,0.0
1/1/2007,02:17:00,2.622,0.140,243.660,10.600,0.000,0.000,0.0
1/1/2007,02:18:00,2.618,0.138,243.640,10.600,0.000,0.000,0.0
1/1/2007,02:19:00,2.618,0.138,243.720,10.600,0.000,0.000,0.0
1/1/2007,02:20:00,2.624,0.142,244.150,10.600,0.000,0.000,0.0
1/1/2007,02:21:00,2.632,0.144,244.600,10.600,0.000,0.000,0.0
1/1/2007,02:22:00,2.630,0.144,244.500,10.600,0.000,0.000,0.0
1/1/2007,02:23:00,2.622,0.142,244.220,10.600,0.000,0.000,0.0
1/1/2007,02:24:00,2.614,0.140,243.880,10.600,0.000,0.000,0.0
1/1/2007,02:25:00,2.596,0.136,242.970,10.600,0.000,0.000,0.0
1/1/2007,02:26:00,2.598,0.136,243.070,10.600,0.000,0.000,0.0
1/1/2007,02:27:00,2.584,0.132,242.450,10.600,0.000,0.000,0.0
1/1/2007,02:28:00,2.592,0.134,242.840,10.600,0.000,0.000,0.0
1/1/2007,02:29:00,2.568,0.086,243.330,10.400,0.000,0.000,0.0
1/1/2007,02:30:00,2.514,0.000,243.630,10.200,0.000,0.000,0.0
1/1/2007,02:31:00,2.518,0.000,243.790,10.200,0.000,0.000,0.0
1/1/2007,02:32:00,2.518,0.000,243.810,10.200,0.000,0.000,0.0
1/1/2007,02:33:00,2.522,0.000,244.000,10.200,0.000,0.000,0.0
1/1/2007,02:34:00,2.532,0.000,244.500,10.200,0.000,0.000,0.0
1/1/2007,02:35:00,2.542,0.000,244.990,10.200,0.000,0.000,0.0
1/1/2007,02:36:00,2.532,0.000,244.470,10.200,0.000,0.000,0.0
1/1/2007,02:37:00,2.504,0.000,242.980,10.200,0.000,0.000,0.0
1/1/2007,02:38:00,2.498,0.000,242.780,10.200,0.000,0.000,0.0
1/1/2007,02:39:00,2.500,0.000,242.860,10.200,0.000,0.000,0.0
1/1/2007,02:40:00,2.570,0.084,242.490,10.600,0.000,0.000,0.0
1/1/2007,02:41:00,2.568,0.104,242.600,10.600,0.000,0.000,0.0
1/1/2007,02:42:00,2.576,0.104,242.960,10.600,0.000,0.000,0.0
1/1/2007,02:43:00,2.574,0.104,242.850,10.600,0.000,0.000,0.0
1/1/2007,02:44:00,2.614,0.150,242.460,10.800,0.000,0.000,0.0
1/1/2007,02:45:00,2.654,0.230,242.870,10.800,0.000,1.000,0.0
1/1/2007,02:46:00,2.670,0.234,243.730,11.000,0.000,1.000,0.0
1/1/2007,02:47:00,2.666,0.236,243.710,11.000,0.000,2.000,0.0
1/1/2007,02:48:00,2.624,0.180,243.200,10.800,0.000,1.000,0.0
1/1/2007,02:49:00,2.580,0.122,242.690,10.600,0.000,2.000,0.0
1/1/2007,02:50:00,2.586,0.124,243.020,10.600,0.000,1.000,0.0
1/1/2007,02:51:00,2.592,0.126,243.290,10.600,0.000,1.000,0.0
1/1/2007,02:52:00,2.588,0.124,243.100,10.600,0.000,2.000,0.0
1/1/2007,02:53:00,2.692,0.242,243.150,11.000,0.000,1.000,0.0
1/1/2007,02:54:00,2.696,0.264,243.150,11.000,0.000,2.000,0.0
1/1/2007,02:55:00,2.690,0.262,243.110,11.000,0.000,1.000,0.0
1/1/2007,02:56:00,2.694,0.264,243.460,11.000,0.000,1.000,0.0
1/1/2007,02:57:00,2.680,0.260,242.820,11.000,0.000,2.000,0.0
1/1/2007,02:58:00,2.666,0.256,242.230,11.000,0.000,1.000,0.0
1/1/2007,02:59:00,2.654,0.254,241.740,11.000,0.000,1.000,0.0
1/1/2007,03:00:00,2.648,0.254,241.630,11.000,0.000,2.000,0.0
1/1/2007,03:01:00,2.666,0.260,242.650,11.000,0.000,1.000,0.0
1/1/2007,03:02:00,2.672,0.262,242.960,11.000,0.000,1.000,0.0
1/1/2007,03:03:00,2.670,0.262,242.970,11.000,0.000,1.000,0.0
1/1/2007,03:04:00,2.672,0.262,243.180,11.000,0.000,2.000,0.0
1/1/2007,03:05:00,2.666,0.262,242.910,11.000,0.000,1.000,0.0
1/1/2007,03:06:00,2.662,0.246,243.290,11.000,0.000,1.000,0.0
1/1/2007,03:07:00,2.580,0.126,243.280,10.600,0.000,1.000,0.0
1/1/2007,03:08:00,2.570,0.122,242.800,10.600,0.000,2.000,0.0
1/1/2007,03:09:00,2.570,0.122,242.810,10.600,0.000,1.000,0.0
1/1/2007,03:10:00,2.568,0.122,242.720,10.600,0.000,1.000,0.0
1/1/2007,03:11:00,2.580,0.126,243.340,10.600,0.000,1.000,0.0
1/1/2007,03:12:00,2.558,0.070,243.870,10.400,0.000,1.000,0.0
1/1/2007,03:13:00,2.522,0.000,244.020,10.200,0.000,0.000,0.0
1/1/2007,03:14:00,2.520,0.000,243.850,10.200,0.000,0.000,0.0
1/1/2007,03:15:00,2.506,0.000,243.200,10.200,0.000,0.000,0.0
1/1/2007,03:16:00,2.532,0.000,242.760,10.400,0.000,0.000,0.0
1/1/2007,03:17:00,2.550,0.000,242.820,10.400,0.000,0.000,0.0
1/1/2007,03:18:00,2.540,0.000,243.040,10.400,0.000,0.000,0.0
1/1/2007,03:19:00,2.764,0.000,242.390,11.400,0.000,0.000,0.0
1/1/2007,03:20:00,2.700,0.000,243.000,11.000,0.000,0.000,0.0
1/1/2007,03:21:00,2.800,0.114,243.660,11.400,0.000,0.000,0.0
1/1/2007,03:22:00,2.540,0.118,244.160,10.400,0.000,0.000,0.0
1/1/2007,03:23:00,2.548,0.120,244.560,10.400,0.000,0.000,0.0
1/1/2007,03:24:00,2.554,0.122,244.860,10.400,0.000,0.000,0.0
1/1/2007,03:25:00,2.558,0.122,245.070,10.400,0.000,0.000,0.0
1/1/2007,03:26:00,2.542,0.120,244.390,10.400,0.000,0.000,0.0
1/1/2007,03:27:00,2.536,0.118,244.060,10.400,0.000,0.000,0.0
1/1/2007,03:28:00,2.534,0.118,244.010,10.400,0.000,0.000,0.0
1/1/2007,03:29:00,2.468,0.000,243.430,10.000,0.000,0.000,0.0
1/1/2007,03:30:00,2.522,0.088,243.080,10.400,0.000,0.000,0.0
1/1/2007,03:31:00,2.556,0.144,243.120,10.400,0.000,0.000,0.0
1/1/2007,03:32:00,2.536,0.140,242.360,10.400,0.000,0.000,0.0
1/1/2007,03:33:00,2.532,0.140,242.170,10.400,0.000,0.000,0.0
1/1/2007,03:34:00,2.536,0.142,242.550,10.400,0.000,0.000,0.0
1/1/2007,03:35:00,2.534,0.142,242.570,10.400,0.000,0.000,0.0
1/1/2007,03:36:00,2.538,0.144,242.780,10.400,0.000,0.000,0.0
1/1/2007,03:37:00,2.538,0.144,242.890,10.400,0.000,0.000,0.0
1/1/2007,03:38:00,2.540,0.144,243.000,10.400,0.000,0.000,0.0
1/1/2007,03:39:00,2.540,0.144,243.070,10.400,0.000,0.000,0.0
1/1/2007,03:40:00,2.546,0.146,243.430,10.400,0.000,0.000,0.0
1/1/2007,03:41:00,2.550,0.148,243.660,10.400,0.000,0.000,0.0
1/1/2007,03:42:00,2.542,0.146,243.250,10.400,0.000,0.000,0.0
1/1/2007,03:43:00,2.544,0.146,243.390,10.400,0.000,0.000,0.0
1/1/2007,03:44:00,2.466,0.000,243.800,10.000,0.000,0.000,0.0
1/1/2007,03:45:00,2.450,0.000,243.290,10.000,0.000,0.000,0.0
1/1/2007,03:46:00,2.446,0.000,243.180,10.000,0.000,0.000,0.0
1/1/2007,03:47:00,2.456,0.000,243.630,10.000,0.000,0.000,0.0
1/1/2007,03:48:00,2.460,0.000,243.770,10.000,0.000,0.000,0.0
1/1/2007,03:49:00,2.448,0.000,243.180,10.000,0.000,0.000,0.0
1/1/2007,03:50:00,2.458,0.000,243.660,10.000,0.000,0.000,0.0
1/1/2007,03:51:00,2.456,0.000,243.610,10.000,0.000,0.000,0.0
1/1/2007,03:52:00,2.452,0.000,243.440,10.000,0.000,0.000,0.0
1/1/2007,03:53:00,2.448,0.000,243.180,10.000,0.000,0.000,0.0
1/1/2007,03:54:00,2.450,0.000,243.180,10.000,0.000,0.000,0.0
1/1/2007,03:55:00,2.450,0.000,243.210,10.000,0.000,0.000,0.0
1/1/2007,03:56:00,2.456,0.000,243.490,10.000,0.000,0.000,0.0
1/1/2007,03:57:00,2.430,0.000,243.190,10.000,0.000,0.000,0.0
1/1/2007,03:58:00,2.420,0.000,242.990,9.800,0.000,0.000,0.0
1/1/2007,03:59:00,2.404,0.000,242.130,9.800,0.000,0.000,0.0
1/1/2007,04:00:00,2.400,0.000,241.960,9.800,0.000,0.000,0.0
1/1/2007,04:01:00,2.416,0.000,241.470,10.000,0.000,0.000,0.0
1/1/2007,04:02:00,2.476,0.102,241.910,10.200,0.000,0.000,0.0
1/1/2007,04:03:00,2.474,0.102,241.910,10.200,0.000,0.000,0.0
1/1/2007,04:04:00,2.482,0.104,242.200,10.200,0.000,0.000,0.0
1/1/2007,04:05:00,2.484,0.104,242.380,10.200,0.000,0.000,0.0
1/1/2007,04:06:00,2.474,0.102,241.960,10.200,0.000,0.000,0.0
1/1/2007,04:07:00,2.474,0.102,242.000,10.200,0.000,0.000,0.0
1/1/2007,04:08:00,2.580,0.232,241.310,10.600,0.000,0.000,0.0
1/1/2007,04:09:00,2.574,0.224,242.230,10.600,0.000,0.000,0.0
1/1/2007,04:10:00,2.518,0.136,242.680,10.400,0.000,0.000,0.0
1/1/2007,04:11:00,2.522,0.138,242.990,10.400,0.000,0.000,0.0
1/1/2007,04:12:00,2.498,0.132,241.800,10.200,0.000,0.000,0.0
1/1/2007,04:13:00,2.496,0.132,241.820,10.200,0.000,0.000,0.0
1/1/2007,04:14:00,2.496,0.132,241.890,10.200,0.000,0.000,0.0
1/1/2007,04:15:00,2.486,0.130,241.440,10.200,0.000,0.000,0.0
1/1/2007,04:16:00,2.488,0.130,241.570,10.200,0.000,0.000,0.0
1/1/2007,04:17:00,2.480,0.128,241.150,10.200,0.000,0.000,0.0
1/1/2007,04:18:00,2.488,0.132,241.670,10.200,0.000,0.000,0.0
1/1/2007,04:19:00,2.490,0.132,241.780,10.200,0.000,0.000,0.0
1/1/2007,04:20:00,2.484,0.130,241.530,10.200,0.000,0.000,0.0
1/1/2007,04:21:00,2.464,0.104,241.340,10.200,0.000,0.000,0.0
1/1/2007,04:22:00,2.398,0.000,241.790,9.800,0.000,0.000,0.0
1/1/2007,04:23:00,2.392,0.000,241.480,9.800,0.000,0.000,0.0
1/1/2007,04:24:00,2.406,0.000,242.250,9.800,0.000,0.000,0.0
1/1/2007,04:25:00,2.398,0.000,241.760,9.800,0.000,0.000,0.0
1/1/2007,04:26:00,2.398,0.000,241.830,9.800,0.000,0.000,0.0
1/1/2007,04:27:00,2.398,0.000,240.610,9.800,0.000,0.000,0.0
1/1/2007,04:28:00,2.402,0.000,240.970,9.800,0.000,0.000,0.0
1/1/2007,04:29:00,2.406,0.000,242.000,9.800,0.000,0.000,0.0
1/1/2007,04:30:00,2.412,0.000,242.560,9.800,0.000,0.000,0.0
1/1/2007,04:31:00,2.420,0.000,243.020,9.800,0.000,0.000,0.0
1/1/2007,04:32:00,2.418,0.000,242.870,9.800,0.000,0.000,0.0
1/1/2007,04:33:00,2.422,0.000,243.130,9.800,0.000,0.000,0.0
1/1/2007,04:34:00,2.418,0.000,242.870,9.800,0.000,0.000,0.0
1/1/2007,04:35:00,2.416,0.000,242.760,9.800,0.000,0.000,0.0
1/1/2007,04:36:00,2.420,0.000,243.040,9.800,0.000,0.000,0.0
1/1/2007,04:37:00,2.424,0.000,243.240,9.800,0.000,0.000,0.0
1/1/2007,04:38:00,2.430,0.000,243.500,9.800,0.000,0.000,0.0
1/1/2007,04:39:00,2.434,0.000,243.810,10.000,0.000,0.000,0.0
1/1/2007,04:40:00,2.436,0.000,243.830,10.000,0.000,0.000,0.0
1/1/2007,04:41:00,2.430,0.000,243.590,9.800,0.000,0.000,0.0
1/1/2007,04:42:00,2.468,0.000,243.210,10.000,0.000,0.000,0.0
1/1/2007,04:43:00,2.516,0.112,244.190,10.200,0.000,0.000,0.0
1/1/2007,04:44:00,2.508,0.110,243.810,10.200,0.000,0.000,0.0
1/1/2007,04:45:00,2.548,0.158,243.090,10.400,0.000,0.000,0.0
1/1/2007,04:46:00,2.600,0.244,242.900,10.600,0.000,0.000,0.0
1/1/2007,04:47:00,2.592,0.242,242.730,10.600,0.000,0.000,0.0
1/1/2007,04:48:00,2.598,0.246,243.210,10.600,0.000,0.000,0.0
1/1/2007,04:49:00,2.580,0.240,242.480,10.600,0.000,0.000,0.0
1/1/2007,04:50:00,2.550,0.204,242.250,10.400,0.000,0.000,0.0
1/1/2007,04:51:00,2.508,0.136,242.510,10.200,0.000,0.000,0.0
1/1/2007,04:52:00,2.516,0.138,242.990,10.200,0.000,0.000,0.0
1/1/2007,04:53:00,2.512,0.138,242.830,10.200,0.000,0.000,0.0
1/1/2007,04:54:00,2.508,0.136,242.710,10.200,0.000,0.000,0.0
1/1/2007,04:55:00,2.508,0.138,242.720,10.200,0.000,0.000,0.0
1/1/2007,04:56:00,2.510,0.138,242.890,10.200,0.000,0.000,0.0
1/1/2007,04:57:00,2.516,0.140,243.200,10.200,0.000,0.000,0.0
1/1/2007,04:58:00,2.524,0.142,243.690,10.200,0.000,0.000,0.0
1/1/2007,04:59:00,2.460,0.000,244.060,10.000,0.000,0.000,0.0
1/1/2007,05:00:00,2.436,0.000,243.850,10.000,0.000,0.000,0.0
1/1/2007,05:01:00,2.434,0.000,243.710,10.000,0.000,0.000,0.0
1/1/2007,05:02:00,2.432,0.000,243.680,10.000,0.000,0.000,0.0
1/1/2007,05:03:00,2.442,0.000,244.130,10.000,0.000,0.000,0.0
1/1/2007,05:04:00,2.442,0.000,244.160,10.000,0.000,0.000,0.0
1/1/2007,05:05:00,2.418,0.000,242.900,9.800,0.000,0.000,0.0
1/1/2007,05:06:00,2.428,0.000,243.390,9.800,0.000,0.000,0.0
1/1/2007,05:07:00,2.420,0.000,243.030,9.800,0.000,0.000,0.0
1/1/2007,05:08:00,2.426,0.000,243.270,9.800,0.000,0.000,0.0
1/1/2007,05:09:00,2.488,0.074,243.390,10.200,0.000,0.000,0.0
1/1/2007,05:10:00,2.508,0.128,243.370,10.200,0.000,1.000,0.0
1/1/2007,05:11:00,2.520,0.132,244.060,10.200,0.000,1.000,0.0
1/1/2007,05:12:00,2.524,0.132,244.260,10.200,0.000,2.000,0.0
1/1/2007,05:13:00,2.524,0.132,244.170,10.200,0.000,1.000,0.0
1/1/2007,05:14:00,2.524,0.132,244.120,10.200,0.000,1.000,0.0
1/1/2007,05:15:00,2.506,0.126,243.180,10.200,0.000,2.000,0.0
1/1/2007,05:16:00,2.496,0.124,242.670,10.200,0.000,1.000,0.0
1/1/2007,05:17:00,2.482,0.120,241.970,10.200,0.000,2.000,0.0
1/1/2007,05:18:00,2.484,0.120,242.020,10.200,0.000,1.000,0.0
1/1/2007,05:19:00,2.480,0.120,241.850,10.200,0.000,1.000,0.0
1/1/2007,05:20:00,2.496,0.124,242.810,10.200,0.000,2.000,0.0
1/1/2007,05:21:00,2.488,0.122,242.380,10.200,0.000,1.000,0.0
1/1/2007,05:22:00,2.484,0.120,242.170,10.200,0.000,2.000,0.0
1/1/2007,05:23:00,2.616,0.256,242.060,10.800,0.000,1.000,0.0
1/1/2007,05:24:00,2.652,0.358,241.600,11.000,0.000,1.000,0.0
1/1/2007,05:25:00,2.646,0.358,241.570,11.000,0.000,1.000,0.0
1/1/2007,05:26:00,2.646,0.358,241.640,11.000,0.000,2.000,0.0
1/1/2007,05:27:00,2.652,0.362,242.020,11.000,0.000,1.000,0.0
1/1/2007,05:28:00,2.654,0.364,242.370,11.000,0.000,1.000,0.0
1/1/2007,05:29:00,2.650,0.364,242.400,11.000,0.000,2.000,0.0
1/1/2007,05:30:00,2.644,0.364,242.280,11.000,0.000,1.000,0.0
1/1/2007,05:31:00,2.646,0.360,242.680,11.000,0.000,1.000,0.0
1/1/2007,05:32:00,2.572,0.258,242.320,10.600,0.000,1.000,0.0
1/1/2007,05:33:00,2.584,0.264,242.960,10.600,0.000,1.000,0.0
1/1/2007,05:34:00,2.580,0.262,242.860,10.600,0.000,2.000,0.0
1/1/2007,05:35:00,2.564,0.256,241.980,10.600,0.000,1.000,0.0
1/1/2007,05:36:00,2.526,0.210,241.660,10.400,0.000,1.000,0.0
1/1/2007,05:37:00,2.398,0.000,241.380,9.800,0.000,0.000,0.0
1/1/2007,05:38:00,2.376,0.000,240.610,9.800,0.000,0.000,0.0
1/1/2007,05:39:00,2.380,0.000,240.820,9.800,0.000,0.000,0.0
1/1/2007,05:40:00,2.390,0.000,241.410,9.800,0.000,0.000,0.0
1/1/2007,05:41:00,2.392,0.000,241.510,9.800,0.000,0.000,0.0
